carimbo;tcle;ra;curso;item_1;item_2;item_3;item_4;item_5;item_6;item_7;item_8;item_9;item_10;item_11;item_12;item_13;item_14;item_15;item_16;item_17;item_18;item_19;item_20;item_21;item_22;item_23;item_24;item_25;item_26;item_27;item_28;item_29;item_30;item_31;item_32;item_33;item_34;item_35;item_36;item_37;item_38;item_39;item_40;item_41;item_42;item_43;item_44;item_45;item_46;item_47;item_48;item_49;item_50;item_51;item_52;item_53;item_54;item_55;item_56;item_57;item_58;item_59;escore_autoregulacao_aprendizagem;escore_metacognicao
12/04/2023 09:03;Sim;25045257793;direito;2;3;4;5;5;3;3;2;4;4;3;1;4;3;4;2;3;2;2;2;2;3;4;2;3;4;3;4;4;4;5;5;4;5;4;4;4;5;3;2;2;4;3;4;5;5;5;4;4;5;4;3;3;2;5;2;4;4;4;3.425;3.818181818
12/04/2023 09:03;Sim;103635665;Direito;5;4;3;5;4;2;4;3;4;4;3;2;4;2;3;4;1;4;3;3;2;4;4;5;2;4;4;4;4;4;5;5;4;5;3;2;2;5;3;2;3;5;3;4;2;5;2;2;2;5;5;5;4;5;3;4;5;4;3;3.575;4.090909091
12/04/2023 09:03;Sim;25645272957;Direito;4;3;3;4;3;3;4;2;3;2;2;2;4;3;1;4;1;3;2;4;2;4;3;3;3;2;3;2;3;2;3;3;3;3;4;3;2;1;3;1;2;4;3;4;2;3;5;5;2;5;3;2;3;3;4;5;2;3;3;3.1;2.727272727
12/04/2023 09:04;Sim;2603620895;Direito;5;5;4;4;5;4;5;3;4;5;2;3;4;3;3;2;2;3;3;3;3;2;3;3;2;4;4;5;3;4;4;3;3;5;2;5;3;5;5;5;3;5;2;2;2;5;2;4;4;2;3;4;3;3;3;3;3;2;5;3.5;3.454545455
12/04/2023 09:04;Sim;1645315075;Engenharia de Software;5;4;4;5;4;5;4;3;4;4;4;3;2;4;3;3;3;4;3;4;3;3;3;3;3;3;4;3;2;4;4;3;2;4;3;4;4;2;5;4;3;4;3;4;3;3;4;3;3;4;3;3;3;3;3;3;3;4;5;3.575;3.090909091
12/04/2023 09:04;Sim;8462843277;Direito;5;5;5;2;5;4;5;5;4;4;3;4;4;3;1;4;2;4;5;5;5;3;3;3;4;5;4;4;3;5;4;5;3;5;4;5;4;3;5;4;3;5;3;4;3;5;5;5;4;5;3;4;4;3;3;3;3;5;5;4.125;3.909090909
12/04/2023 09:04;Sim;2143623757;Odontologia;5;5;5;5;5;5;5;5;5;5;5;3;4;3;2;3;2;5;3;3;4;3;3;4;5;5;5;2;4;5;5;5;3;3;5;5;3;3;5;3;3;5;4;5;3;5;5;5;5;5;4;4;3;4;4;5;4;4;2;4.35;4.181818182
12/04/2023 09:04;Sim;25445233823;Biomedicina;5;5;5;4;5;3;5;5;4;3;2;3;4;4;2;2;1;4;2;5;5;3;4;5;3;3;3;4;4;3;3;3;5;5;2;4;4;5;5;3;3;4;4;5;1;5;5;4;5;5;5;5;4;3;5;5;3;2;5;4;3.636363636
12/04/2023 09:04;Sim;8462850931;direito;5;3;5;5;5;5;5;3;2;1;1;4;5;5;2;3;2;5;5;4;5;5;5;5;4;5;5;5;4;1;5;3;5;4;4;4;4;5;5;2;1;5;4;4;4;2;2;5;1;5;5;5;3;2;3;5;5;5;2;3.925;4.272727273
12/04/2023 09:04;Sim;203621833;Direito;4;5;4;4;4;2;4;4;4;4;3;2;3;2;2;4;1;4;2;4;4;4;3;2;3;4;3;3;4;3;NA;4;3;4;4;3;3;4;4;4;2;4;3;4;2;4;4;4;3;5;4;3;3;3;5;5;4;4;5;3.7;3.2
12/04/2023 09:04;Sim;25045338057;Cinema e Audiovisual;5;4;3;4;3;2;3;2;2;4;1;3;5;4;1;3;4;4;2;3;3;1;1;4;3;4;4;2;2;5;4;3;4;4;3;2;3;2;3;1;2;5;2;4;1;5;1;2;2;2;2;2;3;4;5;2;2;2;5;2.75;3.272727273
12/04/2023 09:04;Sim;323627507;Direito;4;4;4;3;4;3;5;4;4;4;3;3;5;3;3;3;1;3;2;3;4;4;3;4;3;3;3;3;3;3;3;3;3;4;3;4;4;4;4;4;2;5;3;3;4;3;4;2;3;4;5;4;4;3;4;4;3;4;3;3.7;3.090909091
12/04/2023 09:04;Sim;645253465;Direito;5;5;3;3;4;4;3;3;3;4;4;4;4;3;3;3;2;3;3;3;3;3;5;3;4;4;4;4;3;3;4;3;3;4;3;3;3;2;3;3;3;4;3;3;2;2;3;3;3;3;3;3;4;3;4;4;4;3;2;3.275;3.636363636
12/04/2023 09:04;Sim;25645264899;Direito;4;3;3;2;4;4;4;2;4;4;4;3;4;3;4;4;3;4;3;3;3;2;3;4;4;4;4;3;4;2;4;4;4;4;4;2;4;2;3;3;2;4;3;4;4;4;4;4;2;4;5;4;4;4;3;4;3;4;4;3.5;3.636363636
12/04/2023 09:04;Sim;163633721;Eng. Software;5;4;3;3;3;4;4;3;4;3;2;3;4;3;2;3;2;4;3;3;2;2;3;3;2;4;3;2;4;4;4;3;4;4;4;2;2;2;5;2;2;4;2;2;3;4;4;2;2;3;3;3;2;3;3;3;3;3;4;3.05;3.272727273
12/04/2023 09:04;Sim;63637021;Análise e Desenvolvimento de Sistemas;4;4;3;4;3;3;2;2;2;4;2;3;3;4;2;2;2;3;4;3;2;3;2;2;1;3;1;2;2;2;4;3;2;4;2;2;2;1;3;1;1;3;1;1;1;2;3;3;2;3;2;1;2;2;5;3;3;2;5;2.425;2.181818182
12/04/2023 09:04;Sim;645235927;Fisioterapia;5;5;5;5;4;3;2;3;5;4;3;4;5;2;3;2;1;2;3;5;5;3;5;4;2;4;5;4;5;5;4;4;3;5;2;3;2;3;3;2;1;2;1;3;2;4;3;5;5;5;3;3;2;5;5;4;4;3;4;3.475;4.090909091
12/04/2023 09:04;Sim;243633291;Direito;4;3;2;5;2;5;4;2;3;5;4;5;5;4;2;2;3;4;2;5;5;4;4;4;2;4;3;4;4;2;4;3;4;3;2;3;3;2;2;2;4;3;3;3;2;3;2;3;2;2;4;4;4;3;3;5;4;3;5;3.325;3.454545455
12/04/2023 09:04;Sim;2603623501;Direito;3;5;5;5;5;5;5;5;4;4;3;5;2;3;2;5;3;5;2;5;5;5;4;5;5;3;5;3;5;3;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;3;5;3;5;5;5;5;5;5;5;5;5;3;5;4.625;4.363636364
12/04/2023 09:04;Sim;2603626047;Direito;5;5;5;4;5;5;5;4;2;5;2;2;5;3;1;4;2;3;4;3;4;3;2;4;2;4;4;5;5;1;3;3;4;4;3;3;2;1;5;2;4;5;3;2;1;5;2;5;4;5;5;5;5;5;5;5;3;4;5;3.775;3.363636364
12/04/2023 09:04;Sim;2563634493;Direito na UNP no RN;5;3;5;5;4;4;5;5;4;5;5;5;5;2;3;3;1;5;1;5;5;5;5;3;3;5;5;3;4;5;4;1;2;5;4;3;2;2;5;1;1;5;4;4;4;5;2;4;3;2;4;5;3;3;5;2;5;4;3;3.975;3.636363636
12/04/2023 09:04;Sim;25045271789;Publicidade e Propaganda;5;5;4;4;5;3;2;4;3;5;3;4;5;2;4;3;2;5;4;4;5;4;4;4;5;4;4;5;4;5;5;5;4;2;4;4;4;1;4;4;3;5;3;2;4;4;2;3;3;5;5;4;4;4;3;5;4;4;3;3.875;4.454545455
12/04/2023 09:05;Sim;25445258125;Administração;5;4;3;3;3;4;5;4;3;3;3;3;3;3;3;2;4;4;5;3;3;3;4;5;3;4;4;5;5;3;4;4;4;5;4;5;5;5;4;2;2;5;5;5;5;5;5;3;3;4;5;4;4;3;4;3;5;4;5;3.85;4.090909091
12/04/2023 09:05;Sim;1645236599;Engenharia de software;5;5;4;4;4;4;4;3;4;4;3;3;4;5;5;3;3;4;3;3;3;3;4;3;2;4;3;3;3;3;3;4;4;3;3;4;4;3;4;4;2;3;3;3;3;3;4;4;3;4;4;3;4;3;4;3;4;3;4;3.575;3.272727273
12/04/2023 09:05;Sim;243635115;Direito;5;3;3;4;1;1;2;1;2;5;3;4;3;5;5;4;3;3;4;5;3;4;3;3;1;4;3;4;2;3;5;3;3;1;4;4;3;4;1;5;4;1;4;3;1;3;4;3;2;1;4;3;2;4;3;3;3;4;2;3.05;3.090909091
12/04/2023 09:05;Sim;2523624181;Engenharia da Computação;5;5;5;1;5;1;1;5;5;5;5;3;5;2;1;5;1;5;5;5;5;3;1;5;5;5;5;5;5;1;5;5;5;1;5;1;5;1;3;1;5;5;1;4;1;5;2;5;1;3;5;5;5;5;1;5;5;5;5;3.8;4.272727273
12/04/2023 09:05;Sim;25445259417;Nutrição;3;4;4;3;3;3;3;4;3;3;2;4;3;3;4;2;3;4;2;3;4;3;3;4;2;3;3;2;3;4;2;4;4;4;3;3;3;2;4;2;3;5;3;3;2;2;4;2;4;4;4;4;4;3;4;3;5;4;4;3.275;3.090909091
12/04/2023 09:05;Sim;583622079;Direito;4;5;4;5;5;5;5;3;5;4;NA;3;5;3;3;4;2;4;4;4;5;4;2;4;2;3;5;4;3;5;5;3;4;5;3;5;3;4;5;3;2;5;3;4;4;4;4;4;3;4;5;4;4;5;5;5;4;3;5;4.153846154;3.636363636
12/04/2023 09:05;Sim;583620199;Direito USJT-SBC;5;5;5;3;5;5;5;5;5;5;5;5;5;3;1;5;1;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;3;5;5;5;2;4.875;4.909090909
12/04/2023 09:05;Sim;25445237459;Engenharia química;4;4;4;5;5;5;5;5;5;2;3;5;5;4;2;4;2;4;5;4;4;5;5;5;1;4;4;4;4;5;5;4;5;2;5;4;4;5;4;4;1;5;4;3;4;5;5;5;4;5;5;4;5;4;5;3;4;4;3;4.325;4.181818182
12/04/2023 09:05;Sim;25445235509;Ciências da Computação;4;4;3;4;3;2;4;3;4;4;2;3;4;3;3;2;2;3;2;3;4;2;3;3;3;3;3;3;3;5;4;2;3;4;2;3;3;2;3;3;2;4;4;2;2;4;3;3;3;3;3;3;3;3;4;3;3;3;5;3.075;3.181818182
12/04/2023 09:05;Sim;203624167;Direito;4;5;5;3;5;3;5;4;3;5;3;3;4;4;2;3;3;3;2;4;4;3;3;4;4;4;5;3;3;5;5;3;3;5;5;4;3;2;3;4;2;5;3;5;2;3;3;3;3;5;4;3;4;4;4;4;4;3;3;3.7;3.818181818
12/04/2023 09:05;Sim;25645282531;Direito;5;5;5;3;4;3;5;3;5;5;3;4;4;2;2;4;2;5;3;4;5;4;4;4;4;5;4;4;4;5;5;4;4;4;4;5;4;3;5;4;2;5;3;3;3;5;5;4;4;5;4;5;4;4;4;4;4;5;3;4.2;4.272727273
12/04/2023 09:05;Sim;25245237623;Ciência da Computação;5;4;5;2;4;2;4;3;5;4;3;4;4;3;3;4;2;5;4;5;4;4;4;4;3;4;4;3;4;5;3;4;3;3;2;4;2;4;2;4;3;4;2;3;3;5;5;5;4;2;4;4;4;3;3;3;4;3;4;3.675;3.727272727
12/04/2023 09:05;Sim;403623483;Direito;5;5;5;5;5;5;5;5;5;5;4;5;5;2;2;4;1;5;3;4;5;5;5;3;5;5;5;5;4;4;5;5;3;5;5;4;5;2;5;1;2;5;5;5;1;5;2;1;5;5;5;5;5;5;5;5;5;2;5;4.375;4.454545455
12/04/2023 09:05;Sim;583621959;Direito;4;4;5;5;5;4;4;3;4;5;3;3;2;5;4;3;5;4;4;2;4;3;4;3;3;4;4;4;3;5;5;3;3;5;4;4;4;3;5;3;3;5;5;2;2;3;4;5;3;5;3;2;3;3;5;3;2;3;5;3.575;3.727272727
